epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.5165525262498043,0.7281777777777778,0.7281769186826073,0.40650314688682554,0.8148,0.8147985480206165,0.001,25.58597220000047,1
2,0.3380610996603288,0.8528,0.8527998325189206,0.34259602390229704,0.8528,0.8527543891995986,0.001,25.200888000000305,1
3,0.2544355987232517,0.8975555555555556,0.8975552153882806,0.3331431828439236,0.8652,0.8651031116589178,0.001,25.1932510000006,1
4,0.19280944677831774,0.9252444444444444,0.9252444420817997,0.3440349493175745,0.8692,0.8690625470994431,0.001,25.15738340000007,1
5,0.1359451025967825,0.9498666666666666,0.949866647257013,0.382912689819932,0.8688,0.868799244283647,0.001,25.204985100000158,0
6,0.08158262067643757,0.9721777777777778,0.9721777742604989,0.5300782352685929,0.852,0.8512961191020022,0.001,25.1234699000006,0
7,0.046505968040119944,0.9844888888888889,0.9844888819950586,0.6347309324890376,0.862,0.861990262032889,0.001,25.009441600000173,0
8,0.024184816188525558,0.9930666666666667,0.9930666652971191,0.8559578910470009,0.8568,0.8567595718215508,0.001,25.107728299999508,0
