epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.4798109911128201,0.758,0.7579583927488968,0.364031770080328,0.8488,0.8486291083181268,0.001,25.95718350000061,1
2,0.28413052268495614,0.8811111111111111,0.8811109136084511,0.3126405648887157,0.8688,0.868796977082352,0.001,34.467152299999725,1
3,0.19773640390485525,0.9226666666666666,0.9226665927321104,0.32018344588577746,0.8756,0.8755854882913543,0.001,25.324654200000623,1
4,0.12767118446274914,0.9533777777777778,0.9533777622140085,0.40670517571270465,0.8636,0.8631770309463864,0.001,24.99772010000015,0
5,0.06567899332598741,0.9773777777777778,0.9773777741582217,0.46040432266891,0.8588,0.8587900362249561,0.001,24.932440399999905,0
6,0.02937683449140009,0.9907111111111111,0.9907111058084139,0.5987855318933726,0.8624,0.8623928664461966,0.001,24.992088400000284,0
7,0.016066221571980514,0.9952888888888889,0.9952888870649321,0.7061037890613079,0.8564,0.8563898668690062,0.001,24.99870749999991,0
