epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.4805677931501784,0.7575555555555555,0.75750243888977,0.360939846560359,0.8468,0.8467411240702228,0.001,25.245668000000478,1
2,0.2847226972649382,0.8812888888888889,0.8812888830266115,0.3124343980103731,0.8668,0.8667998081917239,0.001,25.4998814999999,1
3,0.1994305326053026,0.9213777777777777,0.9213777092890267,0.31667572148144246,0.8788,0.8787998254717486,0.001,25.163311699999213,1
4,0.1297134801808914,0.9523111111111111,0.9523111034808878,0.38375350274145603,0.8644,0.8641511466364545,0.001,24.933482899999944,0
5,0.06677713547304104,0.9775555555555555,0.9775555519644439,0.42691859491169454,0.862,0.8619230966879313,0.001,24.9317288000002,0
6,0.02999288038038437,0.9908888888888889,0.9908888884389575,0.6408317442983389,0.8636,0.8634566622657801,0.001,24.97039390000009,0
7,0.018554113487880386,0.9942666666666666,0.9942666661117365,0.6866847276687622,0.862,0.8619973282682754,0.001,24.987514999999803,0
