epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.6296890405091372,0.6380444444444444,0.6378280355175191,0.5772174626588822,0.7172,0.716931469869577,0.001,24.46560379999937,1
2,0.5075695247982036,0.7649333333333334,0.7649311226411356,0.4793745309114456,0.7772,0.7771842781226643,0.001,24.645389299999806,1
3,0.41841714350845327,0.8200444444444445,0.8200054906104826,0.44280727207660675,0.8032,0.8031753103109254,0.001,24.948922200001107,1
4,0.34115949357775127,0.8624,0.8623998912789265,0.4231146115809679,0.8144,0.8139569496381462,0.001,24.73388100000011,1
5,0.27114596181887796,0.8918666666666667,0.8918664050100664,0.4043214190751314,0.838,0.8377755072579639,0.001,24.702236099998117,1
6,0.22609512762970885,0.9121333333333334,0.9121328082997434,0.41027583852410315,0.8324,0.8319663656819334,0.001,24.444346800002677,0
7,0.17283121473155916,0.9365777777777777,0.9365773707454372,0.4379971638321877,0.842,0.8419487914084163,0.001,24.951757099999668,1
8,0.13401152185079726,0.9527555555555556,0.9527554136118205,0.48959884643554685,0.8384,0.8383825194533041,0.001,24.20065920000343,0
9,0.09979057259624824,0.9656888888888889,0.9656883152314076,0.5580123886466026,0.8284,0.8280233298179003,0.001,24.375914699998248,0
10,0.06963559343024496,0.9762666666666666,0.9762665399006891,0.6385531529784203,0.8364,0.8363559863060769,0.001,22.48595850000129,0
