epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.6604474171657454,0.6064444444444445,0.6063497343288711,0.622587551176548,0.666,0.6605421146494412,0.001,21.226747599997907,1
2,0.5734554031355814,0.7141777777777778,0.7140050176008444,0.5534265629947186,0.7352,0.7305043070459689,0.001,22.304631099999824,1
3,0.478743101046844,0.7860444444444444,0.7860275379783094,0.49227034077048304,0.7576,0.7573128136912096,0.001,24.448585099999036,1
4,0.4088261447508227,0.8268,0.8267995808977513,0.4340825304389,0.8104,0.8101753691248075,0.001,24.801745400000073,1
5,0.33409838065166364,0.8656,0.8655999734518466,0.4116908133029938,0.8204,0.819874754784953,0.001,24.639136699999654,1
6,0.28466481078331446,0.8899111111111111,0.8899110847985012,0.39618992917239665,0.8488,0.8487752233325908,0.001,24.383848299999954,1
7,0.2299906985241581,0.9150222222222222,0.9150220711503487,0.4214372903108597,0.8348,0.8336816755866446,0.001,24.66895310000109,0
8,0.19738245793533596,0.9289777777777778,0.9289777777777778,0.4084683541208506,0.8432,0.8431830386774634,0.001,24.693011600000318,0
9,0.16235369839705527,0.9436444444444444,0.9436444333124807,0.4670479714870453,0.848,0.8478593977410164,0.001,24.92977890000111,0
10,0.12086966882502152,0.9580444444444445,0.958044441460938,0.5259652256965637,0.8528,0.8528,0.001,24.192941600002086,1
