epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.4875544271516529,0.7553777777777778,0.755319245791491,0.36054198183119296,0.8464,0.8463433560147613,0.001,25.37860929999988,1
2,0.28751407912932336,0.8786666666666667,0.8786666628319341,0.31563068069517614,0.8696,0.8695979135666171,0.001,24.98210420000032,1
3,0.2020609027875418,0.9215555555555556,0.9215555107744051,0.32754547968506814,0.8696,0.8695812196956362,0.001,24.924523100000442,0
4,0.13389231010064992,0.9505333333333333,0.9505331354658753,0.39756115823984145,0.8592,0.8588063747638215,0.001,24.95344440000008,0
5,0.07638702633399093,0.9738666666666667,0.973866659233183,0.5048345468938351,0.8448,0.8438983569095093,0.001,24.94507969999995,0
6,0.034977934242884985,0.9887555555555556,0.9887555491365011,0.5907015915960073,0.8616,0.8615202356557377,0.001,24.9632474,0
