epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.6456901031461629,0.6242222222222222,0.6242086937351967,0.573383504152298,0.7188,0.7183218682720798,0.001,25.93325769999865,1
2,0.5369544375518506,0.7454666666666667,0.7453928927171156,0.5002125196158886,0.7812,0.7804614723931305,0.001,25.391620700000203,1
3,0.4339311564002525,0.8144,0.814396896899428,0.4509478732943535,0.8088,0.808468543322332,0.001,24.928233599999658,1
4,0.3537312980571931,0.8566666666666667,0.8566666029629346,0.48394460827112196,0.8156,0.813374558798835,0.001,25.52995379999993,1
5,0.29792806216176937,0.8817777777777778,0.8817745260809899,0.38366523906588557,0.8524,0.8523946862087035,0.001,25.48265209999954,1
6,0.2403858561195772,0.9086666666666666,0.9086644437621958,0.3824641339480877,0.8508,0.8506726775517878,0.001,25.600759900000412,0
7,0.18459242362190376,0.9317333333333333,0.9317317016367206,0.4077914960682392,0.848,0.8479859903888742,0.001,25.020198899997922,0
8,0.14696572703013028,0.9479555555555556,0.947955173019652,0.43817858919501307,0.8452,0.8451355516111585,0.001,25.04718160000266,0
9,0.10553164669280787,0.9650222222222222,0.9650218739264522,0.5062096785753966,0.8508,0.8507999761279962,0.001,24.6386222000001,0
