epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.5338439745828509,0.7228,0.7227894202753367,0.4002498470246792,0.8248,0.8247780201548482,0.001,20.82145969999692,1
2,0.32686371280049736,0.8617333333333334,0.8617324459628977,0.3414104524999857,0.8548,0.854764655526569,0.001,19.64706710000246,1
3,0.24419533539648083,0.9044888888888889,0.9044877702873877,0.3335031639784575,0.8636,0.8635963116442669,0.001,19.872302499999932,1
4,0.1927078940524635,0.9294222222222223,0.9294220967503942,0.33730688169598577,0.8668,0.8667974211980745,0.001,21.383604099999502,1
5,0.14901788884096526,0.9476444444444444,0.9476436795509213,0.3591025426983833,0.8672,0.8671333328210763,0.001,20.67727659999946,1
6,0.11646609086098826,0.9618222222222222,0.9618220103862265,0.3948117677122355,0.8672,0.8671986401140748,0.001,20.89155579999715,1
7,0.08750595701646736,0.9725777777777778,0.9725776139205573,0.44521011859178544,0.8604,0.86037853180305,0.001,20.435002399997757,0
8,0.06326343869758685,0.9821333333333333,0.9821332451024449,0.5216123126447201,0.8628,0.8627699411279046,0.001,20.62257249999675,0
9,0.046129766560625285,0.9887555555555556,0.9887555475372892,0.6033796295523643,0.8592,0.859095753402197,0.001,21.12887469999987,0
10,0.03111548692421903,0.9930222222222223,0.9930222136076712,0.6958488330245018,0.8536,0.8534978938921272,0.001,20.887329100001807,0
